Index,Date,Symbol,Open,High,Low,Close
0,2013-04-28,BTC,135.300000,135.980000,132.100000,134.210000
1,2013-04-29,BTC,134.440000,147.490000,134.000000,144.540000
2,2013-04-30,BTC,144.000000,146.930000,134.050000,139.000000
3,2013-05-01,BTC,139.000000,139.890000,107.720000,116.990000
4,2013-05-02,BTC,116.380000,125.600000,92.280000,105.210000
5,2013-05-03,BTC,106.250000,108.130000,79.100000,97.750000
6,2013-05-04,BTC,98.100000,115.000000,92.500000,112.500000
7,2013-05-05,BTC,112.900000,118.800000,107.140000,115.910000
8,2013-05-06,BTC,115.980000,124.660000,106.640000,112.300000
9,2013-05-07,BTC,112.250000,113.440000,97.700000,111.500000
10,2013-05-08,BTC,109.600000,115.780000,109.600000,113.570000
11,2013-05-09,BTC,113.200000,113.460000,109.260000,112.670000
12,2013-05-10,BTC,112.800000,122.000000,111.550000,117.200000
13,2013-05-11,BTC,117.700000,118.680000,113.010000,115.240000
14,2013-05-12,BTC,115.640000,117.450000,113.430000,115.000000
15,2013-05-13,BTC,114.820000,118.700000,114.500000,117.980000
16,2013-05-14,BTC,117.980000,119.800000,110.250000,111.500000
17,2013-05-15,BTC,111.400000,115.810000,103.500000,114.220000
18,2013-05-16,BTC,114.220000,118.760000,112.200000,118.760000
19,2013-05-17,BTC,118.210000,125.300000,116.570000,123.010000
20,2013-05-18,BTC,123.500000,125.250000,122.300000,123.500000
21,2013-05-19,BTC,123.210000,124.500000,119.570000,121.990000
22,2013-05-20,BTC,122.500000,123.620000,120.120000,122.000000
23,2013-05-21,BTC,122.020000,123.000000,121.210000,122.880000
24,2013-05-22,BTC,122.890000,124.000000,122.000000,123.890000
25,2013-05-23,BTC,123.800000,126.930000,123.100000,126.700000
26,2013-05-24,BTC,126.300000,133.850000,125.720000,133.200000
27,2013-05-25,BTC,133.100000,133.220000,128.900000,131.980000
28,2013-05-26,BTC,131.990000,136.000000,130.620000,133.480000
29,2013-05-27,BTC,133.500000,135.460000,124.700000,129.740000
30,2013-05-28,BTC,129.770000,130.580000,125.600000,129.000000
31,2013-05-29,BTC,129.000000,132.590000,127.660000,132.300000
32,2013-05-30,BTC,132.250000,132.250000,127.000000,128.800000
33,2013-05-31,BTC,128.800000,129.900000,126.400000,129.000000
34,2013-06-01,BTC,128.820000,129.780000,127.200000,129.300000
35,2013-06-02,BTC,129.300000,129.400000,115.050000,122.290000
36,2013-06-03,BTC,122.500000,122.500000,116.000000,122.220000
37,2013-06-04,BTC,120.740000,123.840000,119.100000,121.420000
38,2013-06-05,BTC,121.400000,123.470000,119.900000,121.650000
39,2013-06-06,BTC,121.900000,123.100000,117.250000,118.000000
40,2013-06-07,BTC,118.970000,119.000000,106.420000,111.500000
41,2013-06-08,BTC,111.000000,111.420000,107.300000,108.300000
42,2013-06-09,BTC,107.890000,108.990000,88.500000,100.000000
43,2013-06-10,BTC,100.440000,110.100000,95.000000,106.350000
44,2013-06-11,BTC,106.350000,109.600000,104.000000,108.900000
45,2013-06-12,BTC,109.000000,111.790000,106.730000,108.150000
46,2013-06-13,BTC,108.780000,110.300000,100.530000,104.000000
47,2013-06-14,BTC,103.950000,104.700000,98.000000,99.980000
48,2013-06-15,BTC,100.000000,103.700000,98.000000,99.990000
49,2013-06-16,BTC,99.800000,101.600000,98.950000,99.510000
50,2013-06-17,BTC,99.900000,102.210000,99.000000,101.700000
51,2013-06-18,BTC,101.950000,111.110000,101.030000,107.400000
52,2013-06-19,BTC,107.050000,110.220000,105.750000,108.250000
53,2013-06-20,BTC,108.250000,114.300000,107.500000,110.150000
54,2013-06-21,BTC,111.290000,114.990000,107.680000,109.500000
55,2013-06-22,BTC,109.500000,109.960000,107.510000,108.300000
56,2013-06-23,BTC,108.200000,108.800000,106.230000,107.600000
