False,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,democrat
False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,True,republican
True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,democrat
True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,democrat
True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,democrat
True,False,True,False,False,False,True,True,True,False,True,False,False,False,True,True,democrat
True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,democrat
True,False,False,True,True,False,True,True,True,False,False,True,True,True,False,True,republican
True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,democrat
False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,republican
True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,True,democrat
False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,True,republican
True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,democrat
False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,republican
True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,True,republican
False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,republican
True,False,True,False,False,False,True,True,True,True,True,False,True,False,True,True,democrat
True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,democrat
True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,True,democrat
True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,democrat
True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,democrat
True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,democrat
True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,republican
False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,republican
False,True,False,True,True,True,False,False,False,True,True,True,True,True,False,True,republican
False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,republican
False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,True,republican
False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,republican
True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,democrat
True,True,False,True,True,True,True,False,False,False,False,True,True,True,False,True,republican
False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,republican
False,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,republican
True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,democrat
